"filename", "language", "Python", "Properties", "comment", "blank", "total"
"e:\Programming\ML\virtual assistant\.env", "Properties", 0, 1, 0, 0, 1
"e:\Programming\ML\virtual assistant\app.py", "Python", 64, 0, 9, 16, 89
"e:\Programming\ML\virtual assistant\browser.py", "Python", 30, 0, 6, 17, 53
"e:\Programming\ML\virtual assistant\contacts.py", "Python", 9, 0, 5, 7, 21
"e:\Programming\ML\virtual assistant\coordinates.py", "Python", 3, 0, 0, 1, 4
"e:\Programming\ML\virtual assistant\names.py", "Python", 2, 0, 0, 0, 2
"e:\Programming\ML\virtual assistant\nlp.py", "Python", 32, 0, 0, 9, 41
"e:\Programming\ML\virtual assistant\softwares.py", "Python", 0, 0, 0, 1, 1
"e:\Programming\ML\virtual assistant\whatsapp.py", "Python", 6, 0, 0, 1, 7
"Total", "-", 146, 1, 20, 52, 219
